municipality,event_type,year,detail
鶴見区,announcement,2015,万博の候補地が発表された
此花区,announcement,2015,万博の候補地が発表された
此花区,development_start,2023,大阪万博の起工式が夢洲で開催
此花区,development_completion,2025,2025年2月、大屋根リング完成
此花区,implementation,2025,万博開催(2025年4月~10月)
住之江区,development_start,2020,Osaka Metro中央線延伸（コスモスクエア〜夢洲間）工事着工（住之江区側）
住之江区,development_completion,2025,Osaka Metro中央線延伸路線の整備完了（1月）
淀川区,development_start,2021,淀川ゲートウェイ着工
淀川区,development_completion,2026,淀川ゲートウェイ竣工
淀川区,development_start,2018,淀川左岸線2期着工(竣工予定は2032年)
此花区,development_start,2018,淀川左岸線2期着工(竣工予定は2032年)
福島区,development_start,2018,淀川左岸線2期着工(竣工予定は2032年)
此花区,development_start,2025,夢洲第2期区域拡張着工
此花区,development_completion,2030,夢洲第2期区域拡張(竣工予定)
